y_true,y_prob,y_pred_default
0,0.4666666666666667,0
1,0.8666666666666667,1
1,0.6666666666666666,1
0,0.06666666666666667,0
0,0.06666666666666667,0
0,0.4,0
1,0.13333333333333333,0
0,0.3333333333333333,0
1,0.4666666666666667,0
1,0.4666666666666667,0
0,0.4,0
0,0.5333333333333333,1
1,0.5333333333333333,1
0,0.3333333333333333,0
0,0.4666666666666667,0
0,0.3333333333333333,0
1,0.13333333333333333,0
0,0.3333333333333333,0
0,0.3333333333333333,0
0,0.4,0
0,0.2,0
0,0.4666666666666667,0
1,0.4,0
1,0.26666666666666666,0
1,0.6666666666666666,1
0,0.2,0
0,0.26666666666666666,0
0,0.8666666666666667,1
0,0.2,0
1,0.4666666666666667,0
0,0.5333333333333333,1
1,0.2,0
1,0.5333333333333333,1
0,0.26666666666666666,0
0,0.13333333333333333,0
0,0.2,0
1,0.6,1
1,0.9333333333333333,1
1,0.7333333333333333,1
0,0.7333333333333333,1
1,0.7333333333333333,1
0,0.06666666666666667,0
0,0.5333333333333333,1
0,0.4666666666666667,0
1,0.26666666666666666,0
1,0.3333333333333333,0
0,0.6,1
1,0.5333333333333333,1
0,0.4666666666666667,0
0,0.4,0
0,0.2,0
0,0.4,0
1,0.4,0
0,0.2,0
1,0.5333333333333333,1
1,0.5333333333333333,1
1,0.2,0
1,0.2,0
0,0.3333333333333333,0
0,0.6,1
1,0.6666666666666666,1
0,0.26666666666666666,0
1,0.7333333333333333,1
0,0.26666666666666666,0
1,0.4,0
1,0.5333333333333333,1
1,0.4666666666666667,0
0,0.3333333333333333,0
1,0.6,1
1,0.26666666666666666,0
0,0.6666666666666666,1
1,0.26666666666666666,0
1,0.7333333333333333,1
1,0.5333333333333333,1
1,0.06666666666666667,0
0,0.5333333333333333,1
1,0.6,1
0,0.6666666666666666,1
0,0.0,0
1,0.9333333333333333,1
0,0.06666666666666667,0
0,0.5333333333333333,1
0,0.13333333333333333,0
1,0.7333333333333333,1
0,0.2,0
0,0.2,0
0,0.3333333333333333,0
0,0.8,1
0,0.2,0
0,0.6666666666666666,1
0,0.6666666666666666,1
1,0.6,1
0,0.6666666666666666,1
0,0.2,0
0,0.26666666666666666,0
1,0.2,0
1,0.4666666666666667,0
1,0.3333333333333333,0
0,0.26666666666666666,0
0,0.13333333333333333,0
0,0.2,0
0,0.13333333333333333,0
0,0.4,0
0,0.6,1
1,0.3333333333333333,0
0,0.4666666666666667,0
1,0.2,0
1,0.4,0
1,0.6,1
1,0.2,0
1,0.6666666666666666,1
1,0.6,1
0,0.06666666666666667,0
1,0.9333333333333333,1
1,0.8,1
0,0.4,0
0,0.4666666666666667,0
0,0.06666666666666667,0
1,0.9333333333333333,1
1,0.9333333333333333,1
1,0.4,0
1,0.5333333333333333,1
0,0.13333333333333333,0
1,0.6666666666666666,1
1,0.4,0
0,0.26666666666666666,0
1,0.8,1
1,0.6,1
0,0.2,0
0,0.2,0
0,0.6666666666666666,1
0,0.4,0
0,0.06666666666666667,0
0,0.0,0
0,0.13333333333333333,0
0,0.26666666666666666,0
1,0.6,1
1,0.6,1
1,0.26666666666666666,0
0,0.2,0
0,0.26666666666666666,0
1,0.5333333333333333,1
0,0.13333333333333333,0
1,0.5333333333333333,1
0,0.5333333333333333,1
1,0.2,0
1,0.8,1
0,0.06666666666666667,0
0,0.13333333333333333,0
0,0.4,0
0,0.4,0
0,0.3333333333333333,0
0,0.6,1
1,0.7333333333333333,1
1,0.4666666666666667,0
1,0.4666666666666667,0
1,0.26666666666666666,0
1,0.26666666666666666,0
1,0.26666666666666666,0
0,0.6666666666666666,1
0,0.13333333333333333,0
1,0.5333333333333333,1
0,0.26666666666666666,0
0,0.5333333333333333,1
0,0.2,0
0,0.26666666666666666,0
0,0.26666666666666666,0
0,0.4,0
1,0.4,0
0,0.5333333333333333,1
1,1.0,1
0,0.6,1
1,0.6,1
0,0.4666666666666667,0
1,0.8,1
1,0.9333333333333333,1
0,0.3333333333333333,0
1,0.6666666666666666,1
0,0.3333333333333333,0
0,0.2,0
1,0.4,0
1,0.4,0
0,0.13333333333333333,0
0,0.8666666666666667,1
1,0.5333333333333333,1
0,0.26666666666666666,0
0,0.13333333333333333,0
1,0.6666666666666666,1
1,0.4666666666666667,0
1,0.6666666666666666,1
0,0.2,0
1,0.5333333333333333,1
1,0.3333333333333333,0
1,0.7333333333333333,1
0,0.6,1
1,0.6,1
0,0.6,1
0,0.2,0
0,0.26666666666666666,0
1,0.8,1
0,0.26666666666666666,0
0,0.7333333333333333,1
0,0.2,0
0,0.6666666666666666,1
0,0.13333333333333333,0
1,0.4,0
1,0.5333333333333333,1
1,0.5333333333333333,1
0,0.4666666666666667,0
1,0.26666666666666666,0
0,0.2,0
1,0.06666666666666667,0
0,0.13333333333333333,0
1,0.3333333333333333,0
1,0.2,0
0,0.3333333333333333,0
0,0.13333333333333333,0
0,0.26666666666666666,0
0,0.6,1
0,0.4,0
0,0.4,0
0,0.4666666666666667,0
0,0.06666666666666667,0
1,0.6,1
1,0.4666666666666667,0
0,0.06666666666666667,0
0,0.2,0
0,0.5333333333333333,1
1,0.4666666666666667,0
1,0.6,1
0,0.26666666666666666,0
1,0.7333333333333333,1
1,0.4,0
0,0.6666666666666666,1
0,0.26666666666666666,0
1,0.6,1
1,0.6,1
1,0.4,0
0,0.4,0
0,0.3333333333333333,0
0,0.4,0
0,0.2,0
0,0.3333333333333333,0
1,0.4666666666666667,0
0,0.7333333333333333,1
1,0.5333333333333333,1
1,0.4666666666666667,0
1,0.5333333333333333,1
1,0.26666666666666666,0
0,0.8,1
0,0.4,0
1,0.5333333333333333,1
0,0.6666666666666666,1
0,0.4,0
0,0.2,0
0,0.2,0
0,0.2,0
0,0.7333333333333333,1
0,0.6,1
1,0.5333333333333333,1
0,0.3333333333333333,0
1,0.5333333333333333,1
0,0.2,0
0,0.26666666666666666,0
1,0.4,0
1,0.6,1
1,0.26666666666666666,0
1,0.5333333333333333,1
1,0.2,0
0,0.4,0
1,0.8,1
0,0.5333333333333333,1
1,0.6,1
0,0.5333333333333333,1
1,0.26666666666666666,0
0,0.4666666666666667,0
0,0.6,1
0,0.4,0
1,0.26666666666666666,0
0,0.6,1
1,0.6666666666666666,1
0,0.13333333333333333,0
1,0.6666666666666666,1
0,0.13333333333333333,0
1,0.4,0
1,0.5333333333333333,1
1,0.4666666666666667,0
0,0.5333333333333333,1
0,0.26666666666666666,0
0,0.3333333333333333,0
1,0.4666666666666667,0
0,0.4666666666666667,0
1,0.4,0
1,0.4,0
1,0.6,1
0,0.06666666666666667,0
1,0.6,1
1,0.4666666666666667,0
1,0.26666666666666666,0
1,0.7333333333333333,1
1,0.4666666666666667,0
1,0.13333333333333333,0
0,0.13333333333333333,0
0,0.13333333333333333,0
0,0.2,0
0,0.13333333333333333,0
0,0.26666666666666666,0
0,0.13333333333333333,0
0,0.13333333333333333,0
0,0.06666666666666667,0
0,0.3333333333333333,0
0,0.3333333333333333,0
0,0.06666666666666667,0
0,0.2,0
0,0.13333333333333333,0
0,0.13333333333333333,0
0,0.2,0
0,0.26666666666666666,0
0,0.3333333333333333,0
0,0.2,0
0,0.13333333333333333,0
0,0.06666666666666667,0
0,0.2,0
0,0.26666666666666666,0
0,0.26666666666666666,0
0,0.2,0
0,0.8666666666666667,1
0,0.2,0
0,0.13333333333333333,0
0,0.2,0
0,0.26666666666666666,0
0,0.4,0
0,0.6,1
0,0.13333333333333333,0
0,0.26666666666666666,0
0,0.2,0
0,0.06666666666666667,0
0,0.6,1
0,0.8666666666666667,1
0,0.2,0
0,0.26666666666666666,0
0,0.4,0
0,0.6,1
0,0.5333333333333333,1
0,0.3333333333333333,0
0,0.3333333333333333,0
0,0.4666666666666667,0
0,0.13333333333333333,0
0,0.4,0
0,0.13333333333333333,0
0,0.2,0
0,0.6,1
0,0.26666666666666666,0
0,0.4,0
0,0.3333333333333333,0
0,0.2,0
0,0.26666666666666666,0
0,0.2,0
0,0.6666666666666666,1
0,0.3333333333333333,0
0,0.3333333333333333,0
0,0.3333333333333333,0
0,0.06666666666666667,0
0,0.2,0
0,0.2,0
0,0.13333333333333333,0
0,0.4666666666666667,0
0,0.26666666666666666,0
0,0.2,0
0,0.5333333333333333,1
0,0.7333333333333333,1
0,0.4666666666666667,0
0,0.4,0
0,0.5333333333333333,1
0,0.2,0
0,0.13333333333333333,0
0,0.5333333333333333,1
0,0.5333333333333333,1
0,0.5333333333333333,1
0,0.4,0
0,0.4666666666666667,0
0,0.6,1
