model,fold_mean,fold_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,brier_score_mean,brier_score_std
logistic_regression,3.0,1.5811388300841898,0.890549153444324,0.023373476232389202,0.9011855100885823,0.02453357219173763,0.8374305629645435,0.03485226309292767,0.822165959746482,0.03072147779218899,0.8473667046211126,0.020638542488759466,0.8291982139390409,0.058785819174690834,0.815133705553923,0.02593880605208557,0.13084209491066998,0.018400394107421898
random_forest,3.0,1.5811388300841898,0.8846593157008048,0.016982608010586358,0.8780634850188335,0.019197247676598438,0.8435104442624268,0.027574314705025076,0.817886198828868,0.028748972808118882,0.8239721011584817,0.02204267287737032,0.8645117452921763,0.040439057318473276,0.7712606523655599,0.02936000186775075,0.13297726222826087,0.013062688160857016
knn,3.0,1.5811388300841898,0.74820163789382,0.022741402069309583,0.7636206018417941,0.028278066785186518,0.722865240122401,0.02221599871647146,0.6794402149416167,0.026185295820184435,0.7065521532236047,0.025970434336286458,0.7407493690545526,0.032264110588710815,0.6181310608286805,0.04536853329049729,0.2033623188405797,0.008765410609914431
